Country,Ages,P.2000,P.2005,P.2010,P.2015,P.2018,P.2019,SE.2010,SE.2015,SE.2018,SE.2019
Iceland,25_34,,34.525562,36.221165,40.052662,47.014381,47.06115,0.99296367,1.0848897,1.1205301,1.1435918
Ireland,25_34,29.803612,40.673939,48.32497,52.004166,56.174488,55.44894,,0.3375355,0.43246964,0.43524808
Israel,25_34,,42.927929,44.216198,45.897861,47.1143,47.04248,,,0.18790774,0.18925931
Italy ,25_34,10.429003,16.105026,20.719744,25.149963,27.726679,27.744524,,0.19097139,0.20299104,0.20497081
Japan ,25_34,47.844826,53.185596,56.70573,59.646538,60.730949,61.514194,,,0.400218787,0.398754133
"Korea, Republic of",25_34,36.81242,50.858059,61.449047,68.861946,69.574219,69.802818,,,0.447000417,0.446049007
Latvia,25_34,17.292057,21.733368,34.697613,39.870365,41.648941,43.811146,0.73872983,0.76374519,0.76933748,0.80444646
Lithuania ,25_34,39.739216,36.882675,46.317448,54.769646,55.581402,55.187374,0.63348043,0.70828724,0.66303068,0.68296778
Luxembourg ,25_34,22.884604,37.013,44.22842,49.945854,54.780186,54.989532,,0.81868219,0.51808238,1.3411815
Mexico,25_34,17.454798,14.924469,17.700443,20.806568,23.359127,23.587111,0.15868893,0.16860458,0.17813557,0.17668825
Netherlands,25_34,26.57077,35.375629,40.803711,45.087276,47.603172,49.103264,,,0.21813536,0.2194636
New Zealand,25_34,,,,39.066757,45.811745,43.792194,,,0.74706537,0.69801539
Norway,25_34,,40.902966,47.255039,48.138676,48.211601,48.658932,,0.45490763,0.42665642,0.42530566
Poland,25_34,14.184261,25.536215,37.126976,43.193764,43.523716,43.484364,,,0.269820863,0.30513939
Portugal,25_34,12.948861,19.114288,24.804928,33.139576,35.078072,37.36721,,0.38619539,0.43554443,0.46356681
Slovakia,25_34,11.197058,16.254873,24.029381,31.312998,37.208523,39.158154,,0.88025689,0.99805355,1.0354766
Slovenia,25_34,19.301691,24.686516,31.307655,40.758549,40.713264,44.105736,,0.56710052,0.57712197,0.61780087
Spain ,25_34,33.978283,40.703537,40.312317,40.959778,44.259609,46.508266,0.16716954,0.19176175,0.20629781,0.2080542
Sweden ,25_34,33.639328,37.286453,42.23127,46.408928,47.530075,48.373196,0.23129021,0.26113269,0.30857691,0.38135511
Switzerland ,25_34,25.571112,31.038237,37.405544,46.502586,51.206909,52.695705,0.38660792,0.41355488,0.42165661,0.43482479
Turkey,25_34,8.8802376,12.508089,17.447386,27.517448,33.280041,35.325356,,,0.186651213,0.191030327
United Kingdom,25_34,28.901674,35.345379,46.046906,49.943413,50.752552,51.809521,,0.47939688,0.49999335,0.50448167
United States,25_34,38.083973,39.363441,42.310982,46.517712,49.373737,50.380188,0.29940927,0.31059676,0.33019599,0.3291873
China,25_34,,,17.948812,,,,,,,
Russia,25_34,,,52.537052,56.2855,62.09024,,0.12929481,0.12665214,0.40025055,
OECD average,35_44,,,,,,43.97594317,,,,0.083099655
Australia ,35_44,,,,,,54.267403,,,,0.60497242
Austria,35_44,,,,,,38.52969,,,,0.32134506
Belgium ,35_44,,,,,,46.614132,,,,0.35635942
Canada,35_44,,,,,,64.651161,,,,0.38
Chile,35_44,,,,,,26.460707,,,,0.14033873
