Country,Ages,P.2000,P.2005,P.2010,P.2015,P.2018,P.2019,SE.2010,SE.2015,SE.2018,SE.2019
OECD average,25_64,65.71836579,71.15184206,75.01100097,76.84636919,79.14580186,79.66692094,0.055418948,0.033423404,0.02821787,0.032355315
Australia ,25_64,58.787689,65.032036,73.20726,79.019104,81.891357,82.86734,,0.2482111,0.22680216,0.2321603
Austria,25_64,,76.944931,82.352501,84.648697,85.297478,85.56414,0.1206912,0.11634667,0.11326701,0.11211891
Belgium ,25_64,58.52322,66.096245,70.499512,74.677101,78.226784,78.686134,,0.1880191,0.14572097,0.14259811
Canada,25_64,80.667519,85.183495,88.263115,90.402107,91.622086,91.857964,0.12,0.11,0.12,0.11
Chile,25_64,,,,64.866493,,,,0.1305034,,
Colombia,25_64,,,,50.410896,55.186287,56.71022,,0.08090129,0.08056144,0.08048887
Czech Republic ,25_64,85.942017,89.9254,91.942635,93.158791,93.860588,93.752426,,0.07475531,0.07358775,0.07524753
Denmark,25_64,79.781113,81.016785,76.710075,80.371368,81.05925,81.589485,0.17982416,0.17280298,0.17327355,0.17354882
Estonia,25_64,85.248634,88.658356,89.135437,88.557838,89.189575,90.056503,0.30025393,0.27519435,0.24610507,0.23681097
Finland,25_64,73.162422,78.787521,82.982826,87.152863,89.073807,90.263908,,0.20590162,0.12433626,0.12011618
France,25_64,62.240974,66.810066,70.766678,77.532402,79.359978,80.438324,,0.08187133,0.08098375,0.08057337
Germany ,25_64,81.726166,83.107147,85.810318,86.791252,86.675179,86.722534,,0.05570127,0.05337743,0.05326414
Greece ,25_64,49.287651,57.713791,62.73634,70.21991,73.369476,73.956497,0.11982896,0.13136981,0.12745906,0.13168359
Hungary,25_64,69.218109,76.390182,81.292351,83.216949,84.861824,84.973633,,0.10393912,0.10778116,0.11055423
Iceland,25_64,,68.174004,70.717705,74.696091,77.872993,78.523682,0.4819544,0.47398794,0.43612868,0.44513315
Ireland,25_64,57.293076,64.533279,72.774818,79.817421,83.174568,83.657272,,0.12937096,0.14296556,0.13943195
Israel,25_64,,78.934875,82.064377,85.535118,86.365448,87.079498,,,0.07176732,0.07071714
Italy ,25_64,42.113556,50.086136,55.174355,59.891224,61.747505,62.162392,,0.08927023,0.0904209,0.09104358
Japan ,25_64,,,,,,,,,,
"Korea, Republic of",25_64,68.245049,75.6408,80.940727,85.770599,88.188354,88.729591,,,0.163406657,0.160107986
Latvia,25_64,83.240379,84.419899,88.603905,87.782051,87.631683,88.435196,0.22692786,0.22534339,0.22828929,0.22689584
Lithuania ,25_64,84.229095,87.501495,91.898819,91.355782,92.977539,93.264198,0.14412896,0.15515086,0.13573538,0.13696843
Luxembourg ,25_64,60.919254,65.853638,77.677689,74.608368,77.235176,75.145386,,0.33223277,0.2285202,0.59307194
Mexico,25_64,29.089918,28.155909,32.086128,35.663193,39.146297,39.788578,0.10887591,0.11006001,0.11232729,0.11039412
Netherlands,25_64,64.856369,71.818947,72.973579,76.399574,79.023209,79.559227,,,0.0797959,0.07971096
New Zealand,25_64,,,,74.722382,80.457207,80.697433,,,0.2913613,0.27943945
Norway,25_64,,77.213615,80.627556,82.371864,82.477631,82.519814,,0.16548258,0.15887582,0.15947607
Poland,25_64,79.880562,85.112869,88.514725,90.777977,92.4478,92.632317,,,0.068278538,0.07394905
Portugal,25_64,19.374249,26.450506,31.917542,45.122936,49.810173,52.175987,,0.16690716,0.1772424,0.18230765
Slovakia,25_64,83.806419,87.869385,90.96521,91.285263,91.57888,91.210785,,0.24763471,0.25338414,0.26173598
Slovenia,25_64,74.823418,80.296158,83.310051,86.786331,88.137299,88.797112,,0.18105949,0.1714807,0.173300408
Spain ,25_64,38.594109,48.756454,52.872963,57.434006,60.115818,61.314106,0.08120633,0.08298366,0.08315128,0.08246887
Sweden ,25_64,77.551811,83.59185,86.272629,81.975914,83.287277,83.633133,0.07714038,0.09574755,0.11241255,0.13769889
Switzerland ,25_64,83.879639,85.246902,85.033241,87.295174,88.401192,89.006927,0.12347307,0.11480553,0.11277188,0.11147264
Turkey,25_64,23.296068,28.082048,31.206043,36.992447,40.236946,41.70013,,,0.097814703,0.099292922
United Kingdom,25_64,62.611389,66.83168,75.062401,79.617668,79.292564,80.060234,,0.18264699,0.19269589,0.19219179
United States,25_64,87.442734,87.774384,88.969521,89.542137,90.823837,90.810127,0.09504887,0.09560049,0.09521527,0.09526466
China,25_64,,,24.461826,,,,,,,
Russia,25_64,,,92.804802,93.660416,95.197701,,0.03330229,0.03090559,0.09426017,
OECD average,25_34,75.81393679,79.45405624,81.73758594,83.31467403,84.89206354,85.45758377,0.118522421,0.066547859,0.055396969,0.060950759
Australia ,25_34,68.306595,78.609978,84.763695,88.079178,89.474121,90.532265,,0.39151141,0.35089374,0.35553131
Austria,25_34,,85.551224,87.817139,89.993294,88.884285,89.437874,0.23046927,0.21566296,0.22175309,0.21684891
Belgium ,25_34,75.323128,80.940819,82.098549,82.531387,85.375725,85.215088,,0.34803972,0.27316841,0.27077308
Canada,25_34,88.267365,90.762672,92.061035,93.314072,93.935204,93.97287,0.19,0.17,0.17,0.18
Chile,25_34,,,,83.229362,,,,0.19972329,,
Colombia,25_34,,,,66.924706,70.46032,72.336609,,0.13597697,0.1331846,0.13088445
Czech Republic ,25_34,92.417854,93.92675,94.239113,93.721863,93.673561,92.957176,,0.16201919,0.16835329,0.1793585
